차 | 茶, 車 | tea;<div>car</div>
사과 | 沙果 | apple;<div>apology</div>
가다 |  | to go
보다 |  | to see, to look at
먹다 |  | to eat
네 |  | yes
아니요 |  | no
커피 |  | coffee
물 |  | water
가방 |  | bag
사무실 | 事務室 | office
학교 | 學校 | school
저 |  | I;<div>that (over there)</div>
뭐 |  | what
책 | 冊 | book
카메라 |  | camera
사전 | 辭典, 事前 | dictionary;<div>prior, beforehand</div>
핸드폰 |  | cellphone
사람 |  | person, people
우유 | 牛乳 | milk
학생 | 學生 | student
사랑 |  | love
노래 |  | song
일하다 |  | to work
고양이 |  | cat
날씨 |  | weather
오늘 |  | today
좋다 |  | to be good, be nice;<div>to like</div>
하다 |  | to do
오다 |  | to come
사다 |  | to buy
마시다 |  | to drink
자다 |  | to sleep
있다 |  | to exist;<div>to have;</div><div>to stay</div>
친구 | 親舊 | friend;<div>same age person</div>
돈 |  | money
일어나다 |  | to wake up, get up;<div>to happen</div>
진짜 | 眞- | really, very;<div>real thing</div>
의자 | 椅子 | chair
맥주 | 麥酒 | beer
장갑 | 掌匣 | glove
밥 |  | rice (cooked); meal
엄마 |  | mom
기억 | 記憶 | memory
더 |  | more
영화 | 映畫 | movie
읽다 |  | to read
놀다 |  | to hang out, to play
쉬다 |  | to rest, take a rest
고향 | 故鄕 | hometown
웃다 |  | to laugh, smile
때리다 |  | to beat, hit, attack
보이다 |  | to be visible;<div>to show, display</div>
요리 | 料理 | cooking, dish
동사 | 動詞 | verb
적다 |  | <div>to be few, little;</div>to write down, fill out
끝나다 |  | to end, be over
팔다 |  | to sell
회사원 | 會社員 | company employee (in an office)
어디 |  | where
한국 | 韓國 | Korea
지금 | 只今 | now
도착하다 | 到着 | to arrive
내일 | 來日 | tomorrow
머리 |  | head;<div>hair</div>
여행 | 旅行 | trip, travel
이상하다 | 異常·異狀 | to be strange (unusual)
기다리다 |  | to wait
쓰다 |  | to write;<div>to use</div>
나중에 |  | later
어제 |  | yesterday
버리다 |  | to abandon, to throw away
술 |  | alcoholic drink
이사하다 | 移徙 | to move (to live elsewhere)
공부하다 | 工夫 | to study
후회하다 | 後悔 | to regret
인정하다 | 認定 | to admit
노력하다 | 努力 | to make an effort, try hard
청소하다 | 淸掃 | to clean up, to vacuum
노래하다 |  | to sing
동의하다 | 同意 | to agree
운동하다 | 運動 | to work out, to exercise
사랑하다 |  | to love
말 |  | words, language;<div>horse</div>
가게 |  | shop, store
누구 |  | who
전화 | 電話 | telephone
은행 | 銀行 | bank
만들다 |  | to make
치즈 |  | cheese
어떻게 |  | how
왜 |  | why
얼마 |  | how much (money)
얼마나 |  | how + adjective/adverb
빨리 |  | quickly
찾다 |  | to look for;<div>to find;</div><div>to withdraw (money)</div>
말하다 |  | to speak
내다 |  | to pay;<div>to hand in;<br /><div>to produce</div></div>
도서관 | 圖書館 | library
옷 |  | clothes
자주 |  | often
크다 |  | to be big;<div>to grow</div>
서울 |  | Seoul
여기 |  | here
아침 |  | morning, breakfast
선물 | 膳物 | present, gift
남자 | 男子 | man, male
한국어 | 韓國語 | Korean (language)
생각하다 |  | to think
주일 | 週日, 主日 | week;<div>Sunday, Lord's day</div>
캐나다 |  | Canada
아내 |  | wife
눈 |  | eye;<br>snow
끝 |  | end
음악 | 音樂 | music
저녁 |  | evening;<div>dinner</div>
의사 | 醫師, 意思 | doctor, physician;<div>intention, idea</div>
미국 | 美國 | USA
일본 | 日本 | Japan
아이스크림 |  | ice cream
영어 | 英語 | English (language)
만나다 |  | to meet
거기 |  | there
금요일 | 金曜日 | Friday
혼자 |  | alone
정말 | 正- | really, seriously
입다 |  | to put on, wear
예외 | 例外 | exception
아기 |  | baby
여자 | 女子 | woman, female
생일 | 生日 | birthday
치마 |  | skirt
비 |  | rain<br>
얼음 |  | ice
방 | 房 | a room
텔레비전 |  | TV
번 | 番 | time (first, second...)
피자 |  | pizza
아이 |  | child
여러분 |  | everyone, ladies and gentlemen
음식 | 飮食 | food
그리고 |  | and
빵 |  | bread
그래서 |  | therefore
프랑스 |  | France
많이 |  | a lot, many, plenty
같이 |  | together
대통령 | 大統領 | president (of a country)
춤추다 |  | to dance
선생님 | 先生- | teacher
목소리 |  | voice
컴퓨터 |  | computer
피곤하다 | 疲困 | to be tired
새 |  | new;<div>bird</div>
월요일 | 月曜日 | Monday
화요일 | 火曜日 | Tuesday
좋아하다 |  | to like
오렌지 |  | orange
딸기 |  | strawberry
매일 | 每日 | every day
애인 | 愛人 | lover, sweetheart
그런데 |  | by the way, but then
포도 | 葡萄 | grape
배 |  | pear;<br>stomach;<br>boat
수박 |  | watermelon
감자 |  | potato
그렇지만 |  | but, however
검색 | 檢索 | search
토마토 |  | tomato
복숭아 |  | peach
늦게 |  | late
밤 |  | night;<div>chestnut</div>
졸리다 |  | to feel sleepy
시험 | 試驗 | exam, test
오이 |  | cucumber
받다 |  | to receive, accept;<div>to take</div>
얻다 |  | to get, to gain
잔 | 盞 | cup, glass
모르다 |  | to not know
나오다 |  | to come out
초콜릿 |  | chocolate
고기 |  | meat
달걀 |  | egg
증거 | 證據 | evidence
수요일 | 水曜日 | Wednesday
목요일 | 木曜日 | Thursday
그럼 |  | then, if so;<div>that's right</div>
아주 |  | very much
식당 | 食堂 | restaurant, cafeteria, diner
병원 | 病院 | hospital
시내 | 市內 | the city, downtown;<div>brook, stream</div>
닫다 |  | to close
수영하다 | 水泳 | to swim
배우다 |  | to learn
분 | 分 | minute;<div>person (hon.)</div>
출근하다 | 出勤 | to go (get) to work
보통 | 普通 | usually, normally
수업 | 受業·授業 | class, instruction
지하철 | 地下鐵 | subway
중요하다 | 重要 | to be important
까만색 |  | black
개 |  | dog;<div>thing (<i>count.</i>)</div>
연필 | 鉛筆 | pencil
공 |  | ball
몇 |  | how many
남다 |  | to remain, to be left
다 |  | all
설탕 | 雪糖·屑糖 | sugar
시장 | 市場, 市長 | market;<div>mayor</div>
토요일 | 土曜日 | Saturday
일요일 | 日曜日 | Sunday
듣다 |  | to listen, to hear
거리 | 距離 | distance;<div>street, road</div>
지루하다 |  | to be boring
잠 |  | sleep, nap
화장실 | 化粧室 | toilet, bathroom
호주 | 濠洲 | Australia
공항 | 空港 | airport
이름 |  | name
여동생 | 女-- | younger sister
취미 | 趣味 | hobby
살다 |  | to live
대학교 | 大學校 | college
중국어 | 中國語 | Chinese (language)
가르치다 |  | to teach
태어나다 |  | to be born
바쁘다 |  | to be busy
비밀 | 秘密 | secret
나이 |  | age
직장 | 職場 | workplace, job
가족 | 家族 | family
직업 | 職業 | job, occupation
주다 |  | to give
이야기하다 |  | to talk
앉다 |  | to sit, sit down
싫어하다 |  | to dislike
버스 |  | bus
주스 |  | juice
아직 |  | yet, still
점심 | 點心 | lunch; afternoon
올해 |  | this year
극장 | 劇場 | movie theater;<div>theater</div>
신문 | 新聞 | newspaper
가져오다 |  | to bring
잡다 |  | to catch, grab, take
준비하다 | 準備 | to prepare
일찍 |  | early
주문하다 | 注文 | to order (smth.)
바지 |  | pants
조금 |  | a little
비싸다 |  | to be expensive
빠르다 |  | to be quick, fast
멀다 |  | to be far
나쁘다 |  | to be bad
덥다 |  | to be hot (regarding the weather)
전혀 | 全- | completely;<br>(not) at all
운전하다 | 運轉 | to drive
잘못하다 |  | to make a mistake
달리다 |  | to run;<div>to hang;</div><div>to depend on</div>
글 |  | writing, a piece of writing, text
글씨 |  | letter, character (handwritten)
빌리다 |  | to borrow
숙제 | 宿題 | homework
결혼하다 | 結婚 | to get married
자전거 | 自轉車 | bicycle
찍다 |  | to take a picture;<br />to mark, stamp, dip into, chop
사진 | 寫眞 | picture, photo
편지 | 便紙·片紙 | letter, note
계획 | 計劃 | plan, project
풀다 |  | to solve; untie
알다 |  | to know, understand
빨간색 |  | red
가깝다 |  | to be close
주말 | 週末 | weekend
